"Topic","Description","Resolution"
"Apporved securities","securities approved by particular lender will be shown",""
"Apporved securities","securities approved by particular lender will be shown",""
"Apporved securities","securities approved by particular lender will be shown",""
"Apporved securities","securities approved by particular lender will be shown",""
"Apporved securities","securities approved by particular lender will be shown",""
"Apporved securities","securities approved by particular lender will be shown",""
"Apporved securities","securities approved by particular lender will be shown",""
"Apporved securities","securities approved by particular lender will be shown",""
"My pledge securities","all your securities which you pledged will be shown",""
"Loan statement list","All your loan transaction will be shown in loan statement list formatted by date given by user",""
"New Loan","pledge securities and process loan application",""
"Topup process","If loans Total collateral value is more than double of sanctioned limit of loan then topup will be available for that loan","topup of full or partial amount will be added in customers loan"
"Increase loan","when customer needs more amount on loan then customer can apply for increase loan and pledge more securities","more amount of securities will be pledged into existing loan"
"what is dashboard?","dashboard is the panel where customer can see the updates about his loan. Whether their loans are performing well or not","all details about customers loan,loan application and pledged securities will be shown"
